run_number,date,database,string_id,string_label,raw_hits,records_retrieved,notes
5,2026-07-14,OpenAlex,String A — Core propulsion modeling,"(""ship"" OR ""vessel"") AND (""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""propulsion model"") AND (""machine learning"" OR ""data-driven"") AND (""sensor data"" OR ""operational data"" OR ""in-service data"" OR ""onboard data"" OR ""noon report"" OR ""voyage data"")",316,100,
6,2026-07-14,OpenAlex,String B — Feature engineering,"(""ship"" OR ""vessel"") AND (""feature engineering"" OR ""feature selection"" OR ""variable selection"" OR ""input features"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"") AND (""machine learning"" OR ""data-driven"")",193,100,
7,2026-07-14,OpenAlex,String C — Physics-hybrid,"(""ship"" OR ""vessel"") AND (""physics-informed"" OR ""physics-based"" OR ""semi-empirical"" OR ""resistance model"" OR ""grey-box"" OR ""physics-guided"") AND (""machine learning"" OR ""data-driven"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""vessel performance"" OR ""ship performance"")",317,100,
8,2026-07-14,OpenAlex,String D — Real-time recalibration,"(""ship"" OR ""vessel"") AND (""model updating"" OR ""online learning"" OR ""adaptive model"" OR ""bias correction"" OR ""real-time calibration"" OR ""concept drift"" OR ""model drift"" OR ""sliding window"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"" OR ""prediction model"")",564,100,
9,2026-07-14,arXiv,String A — Core propulsion modeling,"(""ship"" OR ""vessel"") AND (""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""propulsion model"") AND (""machine learning"" OR ""data-driven"") AND (""sensor data"" OR ""operational data"" OR ""in-service data"" OR ""onboard data"" OR ""noon report"" OR ""voyage data"")",10,4,
10,2026-07-14,arXiv,String B — Feature engineering,"(""ship"" OR ""vessel"") AND (""feature engineering"" OR ""feature selection"" OR ""variable selection"" OR ""input features"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"") AND (""machine learning"" OR ""data-driven"")",0,0,
11,2026-07-14,arXiv,String C — Physics-hybrid,"(""ship"" OR ""vessel"") AND (""physics-informed"" OR ""physics-based"" OR ""semi-empirical"" OR ""resistance model"" OR ""grey-box"" OR ""physics-guided"") AND (""machine learning"" OR ""data-driven"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""vessel performance"" OR ""ship performance"")",6,4,
12,2026-07-14,arXiv,String D — Real-time recalibration,"(""ship"" OR ""vessel"") AND (""model updating"" OR ""online learning"" OR ""adaptive model"" OR ""bias correction"" OR ""real-time calibration"" OR ""concept drift"" OR ""model drift"" OR ""sliding window"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"" OR ""prediction model"")",1,0,
13,2026-07-14,Scopus,String A — Core propulsion modeling,"(""ship"" OR ""vessel"") AND (""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""propulsion model"") AND (""machine learning"" OR ""data-driven"") AND (""sensor data"" OR ""operational data"" OR ""in-service data"" OR ""onboard data"" OR ""noon report"" OR ""voyage data"")",23,23,
14,2026-07-14,Scopus,String B — Feature engineering,"(""ship"" OR ""vessel"") AND (""feature engineering"" OR ""feature selection"" OR ""variable selection"" OR ""input features"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"") AND (""machine learning"" OR ""data-driven"")",7,7,
15,2026-07-14,Scopus,String C — Physics-hybrid,"(""ship"" OR ""vessel"") AND (""physics-informed"" OR ""physics-based"" OR ""semi-empirical"" OR ""resistance model"" OR ""grey-box"" OR ""physics-guided"") AND (""machine learning"" OR ""data-driven"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""vessel performance"" OR ""ship performance"")",17,17,
16,2026-07-14,Scopus,String D — Real-time recalibration,"(""ship"" OR ""vessel"") AND (""model updating"" OR ""online learning"" OR ""adaptive model"" OR ""bias correction"" OR ""real-time calibration"" OR ""concept drift"" OR ""model drift"" OR ""sliding window"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"" OR ""prediction model"")",9,9,
17,2026-07-14,IEEE Xplore,String A — Core propulsion modeling,"(""ship"" OR ""vessel"") AND (""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""propulsion model"") AND (""machine learning"" OR ""data-driven"") AND (""sensor data"" OR ""operational data"" OR ""in-service data"" OR ""onboard data"" OR ""noon report"" OR ""voyage data"")",2,2,
18,2026-07-14,IEEE Xplore,String B — Feature engineering,"(""ship"" OR ""vessel"") AND (""feature engineering"" OR ""feature selection"" OR ""variable selection"" OR ""input features"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"") AND (""machine learning"" OR ""data-driven"")",1,1,
19,2026-07-14,IEEE Xplore,String C — Physics-hybrid,"(""ship"" OR ""vessel"") AND (""physics-informed"" OR ""physics-based"" OR ""semi-empirical"" OR ""resistance model"" OR ""grey-box"" OR ""physics-guided"") AND (""machine learning"" OR ""data-driven"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""vessel performance"" OR ""ship performance"")",3,3,
20,2026-07-14,IEEE Xplore,String D — Real-time recalibration,"(""ship"" OR ""vessel"") AND (""model updating"" OR ""online learning"" OR ""adaptive model"" OR ""bias correction"" OR ""real-time calibration"" OR ""concept drift"" OR ""model drift"" OR ""sliding window"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"" OR ""prediction model"")",0,0,
